Not applicable: -999 Non-response: -888														
Code	Question	Type of Data	Value	Free-response?	Context	Object	Property	Subproperty	Volume	Layout	Location	Reverse	Privacy	Preference
crew_test_date_	Test Date	Date	yyyy-mm-dd	0	crew	test	date		0	0		0	0	0
crew_test_number_	Test Number	Count		0	crew	test	number		0	0		0	0	0
crew_id_number_	Crewmember ID Number	Categorical	1-4	0	crew	id	number		0	0		0	0	0
crew_id_name_	Crewmember Name	Nominal		0	crew	id	name		0	0		0	0	0
crew_experience_age_	What is your age?	Continuous	years	0	crew	experience	age		0	0		0	0	0
crew_experience_major_	What is or was your college major?	Nominal		1	crew	experience	major		0	0		0	0	0
crew_experience_profession_	If you are not a student, what is your current profession?	Nominal		1	crew	experience	profession		0	0		0	0	0
crew_experience_aircraft_	Experience piloting aircraft?	Binary	0 no 1 yes	0	crew	experience	aircraft		0	0		0	0	0
crew_experience_aircraft_cert	Certificates and ratings	Nominal		1	crew	experience	aircraft	cert	0	0		0	0	0
crew_experience_aircraft_time	Hours piloting aircraft	Continuous	hours	0	crew	experience	aircraft	time	0	0		0	0	0
crew_experience_space_	Flying time in space?	Binary	0 no 1 yes	0	crew	experience	space		0	0		0	0	0
crew_experience_space_nflights	Number of spaceflights	Count		0	crew	experience	space	nflights	0	0		0	0	0
crew_experience_longduration_	Long duration?	Binary	0 no 1 yes	0	crew	experience	longduration		0	0		0	0	0
crew_experience_space_time	Total time in space	Continuous	days	0	crew	experience	space	time	0	0		0	0	0
crew_experience_simulator_	Spacecraft simulators?	Binary	0 no 1 yes	0	crew	experience	simulator		0	0		0	0	0
crew_experience_simulator_type	Type of spacecraft simulators	Nominal		1	crew	experience	simulator	type	0	0		0	0	0
crew_experience_simulator_hrs	Hours in spacecraft simulators	Continuous	hours	0	crew	experience	simulator	hrs	0	0		0	0	0
crew_experience_humanspacecraft_	Experience working in human spacecraft?	Binary	0 no 1 yes	0	crew	experience	humanspacecraft		0	0		0	0	0
crew_experience_humanspacecraft_type	Hours working in human spacecraft	Continuous	hours	0	crew	experience	humanspacecraft	type	0	0		0	0	0
crew_anthropometry_height_	Crewmember Height	Continuous	inches	0	crew	anthropometry	height		0	0		0	0	0
crew_anthropometry_shoulderwidth_	Crewmember Shoulder Width	Continuous	inches	0	crew	anthropometry	shoulderwidth		0	0		0	0	0
crew_anthropometry_thumbtip_	Crewmember thumb-tip reach	Continuous	inches	0	crew	anthropometry	thumbtip		0	0		0	0	0
morning_sleep_general_	Rate the acceptability of the crew sleeping quarters	Ordinal	1-6 1 - completely unacceptable 6 - completely acceptable	1	morning	sleep	general		1	1	slp	0	0	0
morning_sleep_cluster_	Would you rather have crew sleeping quarters clustered together or spread out?	Ordinal	1-6 1 - closely clustered 6 - spread out	1	morning	sleep	cluster		1	1	slp	0	1	1
morning_sleep_privacy_	Rate the acceptability of the sleeping quarters in terms of sense of privacy.	Ordinal	1-6 1 - completely unacceptable 6 - completely acceptable	1	morning	sleep	privacy		0	1	slp	0	1	0
morning_sleep_sleep_volume	Rate the acceptability of the volume available in the sleeping quarters, for use for sleeping.	Ordinal	1-6 1 - completely unacceptable 6 - completely acceptable	1	morning	sleep	sleep	volume	1	0	slp	0	0	0
morning_sleep_hygiene_volume	Rate the acceptability of the volume available in the sleeping quarters, for use for personal hygiene.	Ordinal	1-6 1 - completely unacceptable 6 - completely acceptable	1	morning	sleep	hygiene	volume	1	0	slp	0	0	0
morning_sleep_height_	Rate the acceptability of the height dimension of the sleeping quarters.	Ordinal	1-6 1 - completely unacceptable 6 - completely acceptable	1	morning	sleep	height		1	0	slp	0	0	0
morning_sleep_width_	Rate the acceptability of the width (entrance door to spacecraft outer shell) of the sleeping quarters.	Ordinal	1-6 1 - completely unacceptable 6 - completely acceptable	1	morning	sleep	width		1	0	slp	0	0	0
morning_sleep_others_location	Rate the acceptability of your sleeping quarter location with respect to the locations of the other crewmembers' sleep stations.	Ordinal	1-6 1 - completely unacceptable 6 - completely acceptable	1	morning	sleep	others	location	0	1	slp	0	0	0
morning_sleep_nearby_location	Rate the acceptability of the sleeping quarters' location with respect to the locations of the nearby areas.	Ordinal	1-6 1 - completely unacceptable 6 - completely acceptable	1	morning	sleep	nearby	location	0	1	slp	0	0	0
morning_storage_hygiene_	Rate the acceptability of the personal hygiene storage location.	Ordinal	1-6 1 - completely unacceptable 6 - completely acceptable	1	morning	storage	hygiene		0	1	slp	0	0	0
morning_galley_table_room	Rate the acceptability of room available to eat together at the table.	Ordinal	1-6 1 - completely unacceptable 6 - completely acceptable	1	morning	galley	table	room	1	1	gly	0	0	0
morning_galley_efficiency_	Rate the efficiency of the locations of the food warmer and the potable water dispenser.	Ordinal	1-6 1 - completely inefficient 6 - completely efficient	1	morning	galley	efficiency		0	1	gly	0	0	0
morning_galley_table_collapsed	Would you rather have the table collapsed after meals, or have it available as a surface to use for other purposes throughout the day?	Categorical	0 collapsed 1 available	1	morning	galley	table	collapsed	1	1	gly	0	0	1
morning_galley_foodstorage_accessibility	Rate the accessibility of the food storage.	Ordinal	1-6 1 - completely inaccessible 6 - completely accessible	1	morning	galley	foodstorage	accessibility	0	1	gly	0	0	0
morning_table_location_	Rate the acceptability of the location of the table	Ordinal	1-6 1 - completely unacceptable 6 - completely acceptable	0	morning	table	location		0	1	gly	0	0	0
morning_galley_oven_location	Rate the acceptability of the location of the oven	Ordinal	1-6 1 - completely unacceptable 6 - completely acceptable	0	morning	galley	oven	location	0	1	gly	0	0	0
morning_galley_foodstorage_location	Rate the acceptability of the location of the food storage	Ordinal	1-6 1 - completely unacceptable 6 - completely acceptable	0	morning	galley	foodstorage	location	0	1	gly	0	0	0
morning_wastebag_location_	Rate the acceptability of the location of the waste bag	Ordinal	1-6 1 - completely unacceptable 6 - completely acceptable	0	morning	wastebag	location		0	1	gly	0	0	0
morning_galley_rehydration_location	Rate the acceptability of the location of the rehydration system	Ordinal	1-6 1 - completely unacceptable 6 - completely acceptable	0	morning	galley	rehydration	location	0	1	gly	0	0	0
morning_general_location_		Free-response		1	morning	general	location		0	1	gly	0	0	0
morning_command_layout_	Rate the acceptability of the command center layout.	Ordinal	1-6 1 - completely unacceptable 6 - completely acceptable	0	morning	command	layout		0	1	cmd	0	0	0
morning_command_accessibility_	Rate the accessibility of the command center control panel.	Ordinal	1-6 1 - completely unacceptable 6 - completely acceptable	1	morning	command	accessibility		0	1	cmd	0	0	0
